start,duration,value
2019-12-29T15:59:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
2019-12-29T16:15:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
2019-12-29T15:38:00+01:00,[60],[0]
2019-12-29T15:55:00+01:00,"[60,60]","[0,0]"
2019-12-29T16:13:00+01:00,[60],[0]
2019-12-29T17:10:00+01:00,[60],[0]
2019-12-29T17:46:00+01:00,[60],[0]
2019-12-29T18:52:00+01:00,[60],[0]
2019-12-29T18:54:00+01:00,"[60,60,60,60,60,61,59,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
2019-12-29T19:25:00+01:00,"[60,60]","[0,0]"
2019-12-29T19:29:00+01:00,[60],[0]
2019-12-29T19:36:00+01:00,[60],[0]
2019-12-29T20:00:00+01:00,[60],[0]
2019-12-29T20:18:00+01:00,[60],[0]
2019-12-29T20:22:00+01:00,[60],[0]
2019-12-29T20:27:00+01:00,[60],[0]
2019-12-29T20:34:00+01:00,[60],[0]
2019-12-29T20:37:00+01:00,[60],[0]
2019-12-29T20:45:00+01:00,[60],[0]
2019-12-29T21:03:00+01:00,[60],[0]
2019-12-29T21:11:00+01:00,[60],[0]
2019-12-29T21:15:00+01:00,[60],[0]
2019-12-29T21:21:00+01:00,[60],[0]
2019-12-29T21:26:00+01:00,[60],[0]
2019-12-29T21:42:00+01:00,[60],[0]
2019-12-29T21:46:00+01:00,[60],[0]
2019-12-29T21:52:00+01:00,[60],[0]
2019-12-29T21:55:00+01:00,"[60,60]","[0,0]"
2019-12-29T22:02:00+01:00,[60],[0]
2019-12-29T22:14:00+01:00,[60],[0]
2019-12-29T22:20:00+01:00,"[60,60,60]","[0,0,0]"
2019-12-29T22:24:00+01:00,[60],[0]
2019-12-29T22:28:00+01:00,[60],[0]
2019-12-29T22:32:00+01:00,[60],[0]
2019-12-29T22:53:00+01:00,[60],[0]
2019-12-29T23:08:00+01:00,[60],[0]
2019-12-29T23:15:00+01:00,[60],[0]
2019-12-29T23:18:00+01:00,"[60,60,60,60,60]","[0,0,0,0,0]"
2019-12-29T23:30:00+01:00,"[60,60]","[0,0]"
2019-12-29T23:36:00+01:00,[60],[0]
2019-12-29T23:40:00+01:00,[60],[0]
2019-12-29T23:57:00+01:00,"[60,60]","[0,0]"
2019-12-30T00:04:00+01:00,[60],[0]
2019-12-30T00:06:00+01:00,"[60,60,60]","[0,0,0]"
2019-12-30T00:11:00+01:00,[60],[0]
2019-12-30T00:14:00+01:00,[60],[0]
2019-12-30T00:21:00+01:00,[60],[0]
2019-12-30T00:25:00+01:00,"[60,60,60]","[0,0,0]"
2019-12-30T00:33:00+01:00,[60],[0]
2019-12-30T00:44:00+01:00,[60],[0]
2019-12-30T00:24:00+01:00,[60],[0]
2019-12-30T07:40:00+01:00,[60],[0]
2019-12-30T07:41:00+01:00,"[60,60]","[0,0]"
2019-12-30T07:57:00+01:00,"[60,60,60]","[0,0,0]"
2019-12-30T08:02:00+01:00,"[60,60,60,60,60,60,60]","[0,0,0,0,0,0,0]"
2019-12-30T08:12:00+01:00,"[60,60,60,60]","[0,0,0,0]"
2019-12-30T08:31:00+01:00,[60],[0]
2019-12-30T08:44:00+01:00,[60],[0]
2019-12-30T08:51:00+01:00,[60],[0]
2019-12-30T08:53:00+01:00,"[60,60]","[0,0]"
2019-12-30T08:59:00+01:00,"[60,60,60]","[0,0,0]"
2019-12-30T09:07:00+01:00,[60],[0]
2019-12-30T09:09:00+01:00,"[60,60,60,60,60,60]","[0,0,0,0,0,0]"
2019-12-30T08:00:00+01:00,"[60,60]","[0,0]"
2019-12-30T08:16:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
2019-12-30T08:32:00+01:00,[60],[0]
2019-12-30T08:34:00+01:00,[60],[0]
2019-12-30T08:36:00+01:00,"[60,60,60,60,60,60,60,60]","[0,0,0,0,0,0,0,0]"
2019-12-30T08:45:00+01:00,"[60,60]","[0,0]"
2019-12-30T08:49:00+01:00,"[60,60]","[0,0]"
2019-12-30T09:02:00+01:00,[60],[0]
2019-12-30T09:19:00+01:00,"[60,60,60,60]","[0,0,0,0]"
2019-12-30T09:29:00+01:00,"[60,60,60,60,60,60,60]","[0,0,0,0,0,0,0]"
2019-12-30T09:37:00+01:00,[60],[0]
2019-12-30T09:46:00+01:00,[60],[0]
2019-12-30T09:48:00+01:00,[60],[0]
2019-12-30T09:55:00+01:00,[60],[0]
2019-12-30T10:29:00+01:00,[60],[0]
2019-12-30T10:34:00+01:00,"[60,60]","[0,0]"
2019-12-30T10:37:00+01:00,[60],[0]
2019-12-30T11:11:00+01:00,[60],[0]
2019-12-30T11:14:00+01:00,[60],[0]
2019-12-30T11:23:00+01:00,[60],[0]
2019-12-30T11:46:00+01:00,[60],[0]
2019-12-30T09:24:00+01:00,"[60,60]","[0,0]"
2019-12-30T09:28:00+01:00,[60],[0]
2019-12-30T11:59:00+01:00,[60],[0]
2019-12-30T12:01:00+01:00,[60],[0]
2019-12-30T12:13:00+01:00,[60],[0]
2019-12-30T12:19:00+01:00,"[60,60]","[0,0]"
2019-12-30T12:35:00+01:00,[60],[0]
2019-12-30T12:44:00+01:00,"[60,60]","[0,0]"
2019-12-30T12:47:00+01:00,[60],[0]
2019-12-30T12:59:00+01:00,[60],[0]
2019-12-30T13:05:00+01:00,"[60,60]","[0,0]"
2019-12-30T13:12:00+01:00,"[60,60]","[0,0]"
2019-12-30T13:18:00+01:00,[60],[0]
2019-12-30T13:20:00+01:00,"[60,60]","[0,0]"
2019-12-30T13:24:00+01:00,"[60,60,60,60,60,60]","[0,0,0,0,0,0]"
2019-12-30T13:32:00+01:00,"[60,60,60,60,60,60,60,60]","[0,0,0,0,0,0,0,0]"
2019-12-30T13:41:00+01:00,[60],[0]
2019-12-30T13:51:00+01:00,[60],[0]
2019-12-30T14:03:00+01:00,"[60,60]","[0,0]"
2019-12-30T14:10:00+01:00,[60],[0]
2019-12-30T14:14:00+01:00,"[60,60]","[0,0]"
2019-12-30T14:57:00+01:00,[60],[0]
2019-12-30T14:59:00+01:00,"[60,60]","[0,0]"
2019-12-30T15:05:00+01:00,"[60,60]","[0,0]"
2019-12-30T15:16:00+01:00,"[60,60,60]","[0,0,0]"
2019-12-30T15:35:00+01:00,[60],[0]
2019-12-30T15:37:00+01:00,"[60,60,60]","[0,0,0]"
2019-12-30T13:17:00+01:00,[60],[0]
2019-12-30T13:19:00+01:00,[60],[0]
2019-12-30T13:23:00+01:00,[60],[0]
2019-12-30T13:31:00+01:00,[60],[0]
2019-12-30T13:43:00+01:00,[60],[0]
2019-12-30T13:45:00+01:00,[60],[0]
2019-12-30T14:46:00+01:00,[60],[0]
2019-12-30T15:40:00+01:00,"[60,60,60,60,60,60,60,60,60,60]","[0,0,0,0,0,0,0,0,0,0]"
2019-12-30T15:52:00+01:00,"[60,60,60,60,60,60,60,60,60]","[0,0,0,0,0,0,0,0,0]"
2019-12-30T15:51:00+01:00,[60],[0]
2019-12-30T16:01:00+01:00,[60],[0]
2019-12-30T16:02:00+01:00,[60],[0]
2019-12-30T16:03:00+01:00,"[60,60,60,60,60,60,60,60,60,60]","[0,0,0,0,0,0,0,0,0,0]"
2019-12-30T16:15:00+01:00,[60],[0]
2019-12-30T16:18:00+01:00,[60],[0]
2019-12-30T16:20:00+01:00,[60],[0]
2019-12-30T16:23:00+01:00,"[60,60]","[0,0]"
2019-12-30T16:36:00+01:00,[60],[0]
2019-12-30T16:47:00+01:00,"[60,60,60,60]","[0,0,0,0]"
2019-12-30T16:59:00+01:00,[60],[0]
2019-12-30T17:11:00+01:00,[60],[0]
2019-12-30T17:17:00+01:00,[60],[0]
2019-12-30T17:25:00+01:00,[60],[0]
2019-12-30T17:37:00+01:00,"[60,60,60,60,60]","[0,0,0,0,0]"
2019-12-30T17:43:00+01:00,[60],[0]
2019-12-30T17:46:00+01:00,[60],[0]
2019-12-30T17:50:00+01:00,"[60,60]","[0,0]"
2019-12-30T17:59:00+01:00,[60],[0]
2019-12-30T18:49:00+01:00,"[60,60]","[0,0]"
2019-12-30T18:55:00+01:00,[60],[0]
2019-12-30T19:02:00+01:00,[60],[0]
2019-12-30T19:06:00+01:00,[60],[0]
2019-12-30T19:11:00+01:00,[60],[0]
2019-12-30T19:29:00+01:00,[60],[0]
2019-12-30T19:35:00+01:00,[60],[0]
2019-12-30T20:02:00+01:00,[60],[0]
2019-12-30T20:13:00+01:00,[60],[0]
2019-12-30T20:19:00+01:00,[60],[0]
2019-12-30T20:48:00+01:00,[60],[0]
2019-12-30T20:55:00+01:00,[60],[0]
2019-12-30T21:03:00+01:00,[60],[0]
2019-12-30T21:05:00+01:00,[60],[0]
2019-12-30T21:09:00+01:00,[60],[0]
2019-12-30T21:21:00+01:00,[60],[0]
2019-12-30T21:31:00+01:00,[60],[0]
2019-12-30T21:35:00+01:00,[60],[0]
2019-12-30T22:18:00+01:00,[60],[0]
2019-12-30T22:28:00+01:00,[60],[0]
2019-12-30T22:31:00+01:00,[60],[0]
2019-12-30T22:33:00+01:00,"[60,60]","[0,0]"
2019-12-30T22:43:00+01:00,[60],[0]
2019-12-30T22:47:00+01:00,[60],[0]
2019-12-30T22:55:00+01:00,"[60,60,60,60,60]","[0,0,0,0,0]"
2019-12-30T23:03:00+01:00,[60],[0]
2019-12-30T23:05:00+01:00,[60],[0]
2019-12-30T23:28:00+01:00,[60],[0]
2019-12-30T23:43:00+01:00,[60],[0]
2019-12-30T23:51:00+01:00,[60],[0]
2019-12-30T17:58:00+01:00,[60],[0]
2019-12-30T18:28:00+01:00,[60],[0]
2019-12-30T23:02:00+01:00,[60],[0]
2019-12-30T23:33:00+01:00,[60],[0]
2019-12-30T23:53:00+01:00,[60],[0]
2019-12-30T23:58:00+01:00,[60],[0]
2019-12-31T00:13:00+01:00,[60],[0]
2019-12-31T09:07:00+01:00,[60],[0]
2019-12-31T09:29:00+01:00,[60],[0]
2019-12-31T09:35:00+01:00,[60],[0]
2019-12-31T09:46:00+01:00,[60],[0]
2019-12-31T09:54:00+01:00,[60],[0]
2019-12-31T10:01:00+01:00,[60],[0]
2019-12-31T10:15:00+01:00,[60],[0]
2019-12-31T10:57:00+01:00,[60],[0]
2019-12-31T10:59:00+01:00,"[60,60,60]","[0,0,0]"
2019-12-31T11:23:00+01:00,"[60,60,60,60,60,60]","[0,0,0,0,0,0]"
2019-12-31T11:39:00+01:00,"[60,60,60]","[0,0,0]"
2019-12-31T11:44:00+01:00,"[60,60,60,60,60]","[0,0,0,0,0]"
2019-12-31T11:50:00+01:00,[60],[0]
2019-12-31T09:27:00+01:00,[60],[0]
2019-12-31T11:18:00+01:00,[60],[0]
2019-12-31T11:29:00+01:00,[60],[0]
2019-12-31T12:20:00+01:00,[60],[0]
2019-12-31T12:26:00+01:00,[60],[0]
2019-12-31T13:02:00+01:00,[60],[0]
2019-12-31T13:09:00+01:00,[60],[0]
2019-12-31T13:13:00+01:00,[60],[0]
2019-12-31T13:23:00+01:00,[60],[0]
2019-12-31T13:40:00+01:00,[60],[0]
2019-12-31T13:12:00+01:00,[60],[0]
2019-12-31T13:15:00+01:00,[60],[0]
2019-12-31T13:17:00+01:00,[60],[0]
2019-12-31T13:21:00+01:00,"[60,60]","[0,0]"
2019-12-31T14:35:00+01:00,[60],[0]
2019-12-31T14:36:00+01:00,[60],[0]
2019-12-31T14:38:00+01:00,[60],[0]
2019-12-31T14:41:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
2019-12-31T15:15:00+01:00,"[61,59,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]"
2019-12-31T16:00:00+01:00,[60],[0]
2019-12-31T16:07:00+01:00,[60],[0]
2019-12-31T16:11:00+01:00,[60],[0]
2019-12-31T16:15:00+01:00,[60],[0]
2019-12-31T16:22:00+01:00,[60],[0]
2019-12-31T16:28:00+01:00,"[60,60]","[0,0]"
2019-12-31T16:31:00+01:00,"[60,60]","[0,0]"
2019-12-31T16:38:00+01:00,[60],[0]
2019-12-31T16:40:00+01:00,[60],[0]
2019-12-31T17:27:00+01:00,[60],[0]
2019-12-31T17:41:00+01:00,[60],[0]
2019-12-31T17:01:00+01:00,"[60,60]","[0,0]"
2019-12-31T18:01:00+01:00,[60],[0]
2019-12-31T18:13:00+01:00,"[60,60]","[0,0]"
2019-12-31T19:47:00+01:00,"[60,60]","[0,0]"
2019-12-31T19:54:00+01:00,"[60,60]","[0,0]"
2019-12-31T19:58:00+01:00,"[60,60]","[0,0]"
2019-12-31T20:03:00+01:00,[60],[0]
2019-12-31T20:05:00+01:00,[60],[0]
2019-12-31T20:07:00+01:00,[60],[0]
2019-12-31T20:09:00+01:00,"[60,60]","[0,0]"
2019-12-31T20:16:00+01:00,[60],[0]
2019-12-31T20:18:00+01:00,[60],[0]
2019-12-31T20:22:00+01:00,"[60,60]","[0,0]"
2019-12-31T20:25:00+01:00,[60],[0]
2019-12-31T20:28:00+01:00,[60],[0]
2019-12-31T20:40:00+01:00,[60],[0]
2019-12-31T21:08:00+01:00,[60],[0]
2019-12-31T21:21:00+01:00,"[60,60]","[0,0]"
2019-12-31T21:41:00+01:00,[60],[0]
2019-12-31T22:02:00+01:00,"[60,60]","[0,0]"
2019-12-31T22:35:00+01:00,[60],[0]
2019-12-31T22:38:00+01:00,[60],[0]
2019-12-31T23:09:00+01:00,"[60,60,60]","[0,0,0]"
2019-12-31T23:14:00+01:00,[60],[0]
2019-12-31T23:17:00+01:00,"[60,60,60,60,60,60,60]","[0,0,0,0,0,0,0]"
2019-12-31T23:27:00+01:00,"[60,60,60,60,60]","[0,0,0,0,0]"
2019-12-31T19:46:00+01:00,[60],[0]
2019-12-31T19:49:00+01:00,[60],[0]
