Date,"Gewicht (kg)","Fettmasse (kg)","Knochenmasse (kg)","Muskelmasse (kg)","Wasseranteil (kg)",Kommentare
"2019-12-28 13:32:55",83.00,,,,,
"2019-12-28 11:59:12",83.00,,,,,
"2019-12-28 11:43:31",83.00,,,,,
