start,duration,value
2019-12-29T10:33:00+01:00,"[60,60]","[14,3]"
2019-12-29T10:37:00+01:00,[60],[10]
2019-12-29T10:45:00+01:00,[60],[6]
2019-12-29T11:08:00+01:00,[60],[0]
2019-12-29T11:13:00+01:00,[60],[9]
2019-12-29T11:23:00+01:00,[60],[8]
2019-12-29T11:27:00+01:00,"[60,60,60]","[11,14,7]"
2019-12-29T11:31:00+01:00,"[60,60,60,60]","[10,22,12,8]"
2019-12-29T11:42:00+01:00,[60],[8]
2019-12-29T11:47:00+01:00,[60],[11]
2019-12-29T11:58:00+01:00,[60],[8]
2019-12-29T12:00:00+01:00,[60],[7]
2019-12-29T12:02:00+01:00,"[60,60,60]","[9,12,9]"
2019-12-29T12:12:00+01:00,"[60,60,60,60]","[26,6,6,6]"
2019-12-29T12:25:00+01:00,[60],[6]
2019-12-29T12:30:00+01:00,[60],[15]
2019-12-29T12:37:00+01:00,"[60,60]","[10,6]"
2019-12-29T13:01:00+01:00,[60],[8]
2019-12-29T13:04:00+01:00,[60],[8]
2019-12-29T13:13:00+01:00,"[60,60]","[6,0]"
2019-12-29T13:16:00+01:00,[60],[0]
2019-12-29T13:31:00+01:00,[60],[0]
2019-12-29T13:40:00+01:00,[60],[0]
2019-12-29T13:58:00+01:00,"[60,60]","[12,6]"
2019-12-29T14:06:00+01:00,[60],[10]
2019-12-29T14:08:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60,60]","[31,9,34,50,21,34,42,32,84,119,70,11]"
2019-12-29T14:25:00+01:00,"[60,60]","[89,52]"
2019-12-29T14:29:00+01:00,"[60,60,60,60,60]","[24,39,56,103,73]"
2019-12-29T10:30:00+01:00,"[60,60]","[7,6]"
2019-12-29T10:36:00+01:00,[60],[7]
2019-12-29T12:51:00+01:00,[60],[6]
2019-12-29T13:27:00+01:00,[60],[14]
2019-12-29T13:36:00+01:00,[60],[6]
2019-12-29T14:28:00+01:00,[60],[8]
2019-12-29T14:34:00+01:00,[60],[10]
2019-12-29T14:35:00+01:00,[60],[0]
2019-12-29T14:40:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[0,19,88,109,110,83,79,111,21,85,108,109,96,109,108,109,111,99,111,110,110,72,105,104,110,98,112,112,100,112,111,111,101,111,110,109,96,108,107,109,97,104,101,29,49]"
2019-12-29T15:26:00+01:00,"[60,60]","[31,29]"
